order_count,distance_uncharge,distance_charge,max_dist,obj_uncharge,obj_charge,num_veh,battery_swapping,average_order,scenario
38,15.97864652590503,15.97864652590503,5.113150732598456,15.97864652590503,15.97864652590503,4,0,40,1
31,15.65810145774044,15.65810145774044,5.7076447487790025,15.65810145774044,15.65810145774044,3,0,40,2
32,14.496655150558615,14.496655150558615,5.0781475635975,14.496655150558615,14.496655150558615,4,0,40,3
31,17.283224178855928,17.283224178855928,7.197866206022344,17.283224178855928,17.283224178855928,3,0,40,4
34,13.412141001901402,13.412141001901402,5.924124175127692,13.412141001901402,13.412141001901402,3,0,40,5
33,15.077802080355923,15.077802080355923,5.292207364509675,15.077802080355923,15.077802080355923,4,0,40,6
48,19.83139547889197,19.83139547889197,5.0340356916499935,19.83139547889197,19.83139547889197,6,0,40,7
53,20.619324070737072,20.619324070737072,6.1305162364696075,20.619324070737072,20.619324070737072,5,0,40,8
41,17.59016429095157,17.59016429095157,6.347971839387577,17.59016429095157,17.59016429095157,4,0,40,9
42,19.710435955112033,19.710435955112033,6.9120894279642595,19.710435955112033,19.710435955112033,4,0,40,10
41,17.67555271104925,17.67555271104925,6.975142605043061,17.67555271104925,17.67555271104925,3,0,40,11
36,13.774268954975334,13.774268954975334,4.3972672027042154,13.774268954975334,13.774268954975334,4,0,40,12
42,17.138321299414667,17.138321299414667,5.616600594032336,17.138321299414667,17.138321299414667,4,0,40,13
32,13.966302335118744,13.966302335118744,6.072022692532342,13.966302335118744,13.966302335118744,3,0,40,14
35,17.799654516758423,17.799654516758423,7.141655585519528,17.799654516758423,17.799654516758423,4,0,40,15
35,17.657205438254195,17.657205438254195,6.247121801483838,17.657205438254195,17.657205438254195,3,0,40,16
34,16.602995016590654,16.602995016590654,5.930460312923311,16.602995016590654,16.602995016590654,4,0,40,17
39,19.020369219680116,19.020369219680116,6.716151341543736,19.020369219680116,19.020369219680116,4,0,40,18
34,14.576362981097843,14.576362981097843,5.464717834640288,14.576362981097843,14.576362981097843,3,0,40,19
37,16.49704412989176,16.49704412989176,6.264206444878024,16.49704412989176,16.49704412989176,3,0,40,20
41,17.5921501982179,17.5921501982179,6.391069009656133,17.5921501982179,17.5921501982179,4,0,40,21
33,12.585528850336166,12.585528850336166,4.76056271515031,12.585528850336166,12.585528850336166,3,0,40,22
35,16.760571414368624,16.760571414368624,5.207775858426435,16.760571414368624,16.760571414368624,4,0,40,23
33,15.294477239116656,15.294477239116656,4.382976872506743,15.294477239116656,15.294477239116656,4,0,40,24
38,15.776353039134055,15.776353039134055,6.527580871661675,15.776353039134055,15.776353039134055,3,0,40,25
43,18.479106963102886,18.479106963102886,6.802376129344949,18.479106963102886,18.479106963102886,5,0,40,26
47,19.050736948065666,19.050736948065666,6.237875775162489,19.050736948065666,19.050736948065666,4,0,40,27
37,14.741753762411921,14.741753762411921,4.552322691289597,14.741753762411921,14.741753762411921,4,0,40,28
48,19.158944039171335,19.158944039171335,5.294082667428883,19.158944039171335,19.158944039171335,5,0,40,29
35,15.696683112331764,15.696683112331764,4.962640585581668,15.696683112331764,15.696683112331764,4,0,40,30
